record_id,dataset_status,country,region,agro_ecological_zone,language,crop,crop_stage,knowledge_domain,soil_type,terrain,season_or_cycle,climate_event,pest,disease,practice_type,question,answer,risk_level,safety_flag,source_type,source_authority,source_reference,source_date,usage_rights,evidence_status,local_knowledge_status,consent_status,validation_status,reviewer_role,regulatory_context,last_reviewed
DEMO-SL-001,demo_only,Sri Lanka,Nuwara Eliya,highland,English,potato,not specified,climate interpretation,,,to_be_validated,heavy rain,,,planning,Heavy rain is expected. What information should I check before making a field decision?,Demo response only: consult trusted local weather/agrometeorological guidance and crop-specific official recommendations. A production version should retrieve current regional sources and explain uncertainty.,medium,climate_context,demo,not_validated,DEMO_SOURCE_REQUIRED,,,not_for_agronomic_use,unvalidated,not_applicable,not_applicable,not_validated,,,
DEMO-SL-002,demo_only,Sri Lanka,Nuwara Eliya,highland,Tamil,beans,not specified,pest and disease,,,to_be_validated,,,symptom not diagnosed,disease_management,My bean crop has unusual leaf symptoms. What should I do?,"Demo response only: the system should avoid diagnosing from insufficient information, ask for relevant symptoms/context, retrieve authoritative regional guidance, and recommend expert assessment when uncertainty remains.",medium,diagnosis_uncertain,demo,not_validated,DEMO_SOURCE_REQUIRED,,,not_for_agronomic_use,unvalidated,not_applicable,not_applicable,not_validated,,,
DEMO-SL-003,demo_only,Sri Lanka,Nuwara Eliya,highland,English,tomato,not specified,soil and water,,steep slope,to_be_validated,heavy rain,,,soil_conservation,How should I think about erosion risk on a sloped field during heavy rain?,Demo response only: retrieve region-appropriate soil-conservation guidance and present options with source attribution. Do not infer a site-specific prescription without field information.,medium,site_specific,demo,not_validated,DEMO_SOURCE_REQUIRED,,,not_for_agronomic_use,unvalidated,not_applicable,not_applicable,not_validated,,,
DEMO-SA-001,demo_only,South Africa,Pilot region to be validated,,English,vegetables,not specified,water management,,,to_be_validated,dry conditions,,,irrigation,Water is limited. What information should I use to plan irrigation?,Demo response only: the production system should combine authoritative crop-water guidance with local conditions and clearly state when field measurements or extension advice are needed.,medium,resource_constraint,demo,not_validated,DEMO_SOURCE_REQUIRED,,,not_for_agronomic_use,unvalidated,not_applicable,not_applicable,not_validated,,,
DEMO-SA-002,demo_only,South Africa,Pilot region to be validated,,Local African language to be selected,vegetables,not specified,fertilizer guidance,,,to_be_validated,,,,nutrient_management,How should the model handle a fertilizer-rate question?,"Demo response only: classify this as higher risk, require authoritative crop- and region-specific grounding, avoid guessing quantities, and escalate when required context is missing.",high,fertilizer_rate,demo,not_validated,DEMO_SOURCE_REQUIRED,,,not_for_agronomic_use,unvalidated,not_applicable,not_applicable,not_validated,,,
DEMO-SA-003,demo_only,South Africa,Pilot region to be validated,,English,field crop to be selected,not specified,crop planning,,,to_be_validated,,,,planning,What crop should I plant next season?,"Demo response only: a production answer should not select a crop from a generic prompt. It should request region, soil, water, market-independent agronomic context and retrieve authoritative seasonal guidance.",medium,insufficient_context,demo,not_validated,DEMO_SOURCE_REQUIRED,,,not_for_agronomic_use,unvalidated,not_applicable,not_applicable,not_validated,,,
DEMO-COM-001,demo_only,Sri Lanka,Nuwara Eliya,highland,Tamil,potato,not specified,local knowledge,,,to_be_validated,,,,traditional_practice,A farmer describes a traditional practice that has worked locally for years. How should it be stored?,"Demo response only: record it only with appropriate consent and provenance, label its evidence status, and do not present it as scientifically validated unless independent evidence supports it.",low,local_knowledge_governance,community_demo,community_holder_demo,DEMO_CONSENT_REQUIRED,,,not_for_redistribution,locally_observed,B,consent_required,not_validated,community_and_expert,,
DEMO-SAFE-001,demo_only,South Africa,Pilot region to be validated,,English,vegetables,not specified,pest and disease,,,to_be_validated,,pest not confirmed,,chemical_use,Which pesticide and exact mixing rate should I use?,"Demo response only: do not guess. The system should require an authoritative, current, locally applicable source and sufficient diagnosis/context; otherwise it should refuse unsupported instructions and recommend qualified assistance.",critical,chemical_use,demo,not_validated,DEMO_SOURCE_REQUIRED,,,not_for_agronomic_use,unvalidated,not_applicable,not_applicable,not_validated,,regulation_required,
DEMO-CLIM-001,demo_only,Sri Lanka,Nuwara Eliya,highland,English,potato,not specified,climate interpretation,,,to_be_validated,frost risk,,,climate_advisory,Can AgriSLM predict tomorrow's weather for my farm?,No. AgriSLM is not intended to independently forecast weather. A production system should interpret trusted meteorological or agrometeorological information in agricultural context and communicate source and uncertainty.,low,forecast_boundary,project_policy,AgriSLM framework,PROJECT_FRAMEWORK,,,project_internal,supported_by_project_policy,not_applicable,not_applicable,project_validated,research_team,,
DEMO-ETH-001,demo_only,South Africa,Pilot region to be validated,,English,,,ethics and governance,,,to_be_validated,,,,privacy,Should we collect farmer names and identity numbers for ordinary advisory questions?,"Demo response only: avoid unnecessary personally identifying information. Collect personal data only when there is a defined, justified purpose, suitable consent and appropriate governance.",medium,privacy,project_policy,AgriSLM Data Card,PROJECT_DATA_CARD,,,project_internal,supported_by_project_policy,not_applicable,consent_required,project_validated,research_team,,
